Country,Flag,TotalPlayers,Women,percentwomen,FIDE Average,GMs,IMs,FMs,WGMs,WIMs,WFMs,AgeAvg
Estonia,,436,96,22.02,1742,6,15,13,1,5,10,35
Montenegro,,429,36,8.39,1872,6,15,33,0,2,2,47
Angola,,371,48,12.94,1636,0,10,9,0,2,3,30
Macedonia,,363,29,7.99,1542,10,10,22,0,1,4,41
Botswana,,360,93,25.83,1524,0,1,5,1,4,4,23
WALES,,359,39,10.86,1815,1,5,13,0,0,3,49
United Arab Emirates,,343,104,30.32,1479,2,6,16,0,4,7,22
Thailand,,334,67,20.06,1528,0,0,9,0,0,3,29
Luxembourg,,315,19,6.03,1774,0,4,7,2,2,1,47
Madagascar,,305,28,9.18,1574,0,2,3,0,0,3,33
Syria,,299,24,8.03,1834,0,5,13,0,1,1,40
Morocco,,298,28,9.4,1759,1,6,9,0,2,3,37
Nigeria,,295,36,12.2,1899,0,7,16,0,0,5,37
Zimbabwe,,287,66,23.0,1617,0,4,0,0,0,0,25
Puerto Rico,,285,29,10.18,1600,0,3,8,0,1,3,35
Hong Kong,,281,24,8.54,1480,0,0,9,0,0,1,27
Turkmenistan,,271,72,26.57,1872,5,8,15,1,0,20,33
Jamaica,,259,37,14.29,1235,0,2,6,0,1,0,27
Panama,,252,33,13.1,1613,0,2,8,0,0,2,32
FIDE,,252,27,10.71,1585,2,4,14,0,0,1,36
Japan,,244,23,9.43,1803,0,3,9,0,1,2,38
Uganda,,243,32,13.17,1652,0,2,8,0,0,5,29
Albania,,234,17,7.26,1751,1,7,6,0,0,3,43
Kosovo,,232,6,2.59,1923,0,2,7,0,0,1,49
El Salvador,,230,45,19.57,1627,0,4,8,0,4,7,33
Nicaragua,,223,31,13.9,1619,0,3,16,0,1,2,32
Guatemala,,219,37,16.89,1588,0,2,11,0,4,1,33
Honduras,,219,31,14.16,1611,0,1,8,0,0,3,32
Malawi,,211,20,9.48,1627,0,0,2,0,0,1,32
Trinidad and Tobago,,205,32,15.61,1577,0,1,12,0,1,2,34
Lebanon,,191,19,9.95,1630,0,3,6,0,1,3,33
Sudan,,182,10,5.49,1716,0,1,6,0,0,0,41
Faroe Islands,,176,3,1.7,1698,1,2,7,0,0,0,44
Palestine,,164,18,10.98,1593,0,1,1,0,0,1,34
Saudi Arabia,,152,0,0.0,1591,0,0,1,0,0,0,37
Cyprus,,151,8,5.3,1335,0,0,5,0,0,0,33
Oman,,147,4,2.72,1141,0,0,3,0,0,0,31
Barbados,,143,26,18.18,1573,0,4,5,0,0,1,31
,,133,22,16.54,1453,0,1,4,0,0,3,21
Malta,,132,11,8.33,1554,0,1,2,0,0,3,39
Suriname,,131,27,20.61,1469,0,0,4,0,0,5,23
Pakistan,,130,9,6.92,1746,0,2,2,0,0,0,44
Tajikistan,,129,38,29.46,1681,1,4,4,0,0,1,36
Lesotho,,121,16,13.22,1375,0,0,0,0,0,1,24
Kuwait,,119,14,11.76,1412,0,0,2,0,0,0,35
Palau,,116,29,25.0,1395,0,0,0,0,0,1,41
Ethiopia,,90,22,24.44,1742,0,0,2,0,0,0,34
Namibia,,86,21,24.42,1453,0,0,2,0,0,1,22
Ghana,,82,10,12.2,1542,0,1,1,0,0,1,32
Afghanistan,,78,1,1.28,1650,0,0,5,0,0,0,40
Bermuda,,72,3,4.17,1447,0,0,1,0,0,1,46
Mauritania,,72,5,6.94,1661,0,0,1,0,0,0,41
Monaco,,71,14,19.72,1766,4,3,4,1,2,2,41
Andorra,,67,7,10.45,1701,2,2,4,0,0,0,39
Mozambique,,64,22,34.38,1595,0,0,2,0,1,0,26
Yemen,,56,10,17.86,1725,0,4,5,0,0,1,31
Qatar,,52,16,30.77,1682,3,1,2,0,0,3,30
Aruba,,48,12,25.0,1647,0,1,1,0,0,1,33
Swaziland,,48,9,18.75,1252,0,0,0,0,0,0,28
Guyana,,47,7,14.89,1474,0,0,1,0,0,1,32
Netherlands Antilles,,45,8,17.78,1747,0,0,5,0,0,1,41
Fiji,,43,8,18.6,1627,0,0,0,0,0,2,36
Rwanda,,42,5,11.9,1608,0,0,0,0,0,1,36
Macao,,41,6,14.63,1703,0,0,3,0,0,0,32
Brunei,,40,3,7.5,1709,0,0,5,0,0,0,33
Cape Verde,,40,0,0.0,1184,0,0,0,0,0,0,40
Ivory Coast,,38,2,5.26,1655,0,0,1,0,0,0,41
Bahamas,,38,6,15.79,1562,0,0,1,0,0,0,43
Maldives,,35,7,20.0,1482,0,0,2,0,0,0,35
Tanzania,,34,6,17.65,1340,0,0,0,0,0,0,53
Guam,,33,4,12.12,1679,0,0,0,0,0,1,49
Brunei,,32,2,6.25,1731,0,0,2,0,0,1,38
Jersey,,30,1,3.33,1743,0,0,1,0,0,0,38
Mauritius,,28,3,10.71,1705,0,0,2,0,0,0,43
Togo,,25,3,12.0,1551,0,0,0,0,0,0,36
Guernsey,,23,2,8.7,1744,0,0,1,0,0,0,56
Haiti,,21,4,19.05,1758,0,0,1,0,0,0,28
Liberia,,19,0,0.0,1772,0,0,2,0,0,0,37
East Timor,,18,2,11.11,1551,0,0,0,0,0,0,30
South Sudan,,18,0,0.0,1961,0,0,0,0,0,0,31
Sao Tome and Principe,,17,1,5.88,1730,0,0,0,0,0,0,37
Liechtenstein,,17,2,11.76,1888,0,0,2,0,0,0,49
Laos,,16,4,25.0,1265,0,0,0,0,0,0,24
Cameroon,,16,2,12.5,1757,0,1,2,0,0,0,40
Burkina Faso,,15,0,0.0,1475,0,0,0,0,0,0,50
Solomon Islands,,14,0,0.0,1721,0,0,0,0,0,0,39
Somalia,,13,0,0.0,1693,0,0,0,0,0,0,29
Seychelles,,13,4,30.77,1573,0,0,1,0,0,0,32
Mali,,12,0,0.0,1858,0,0,2,0,0,0,50
Senegal,,12,3,25.0,1661,0,0,0,0,0,0,49
Burundi,,12,0,0.0,1726,0,0,1,0,0,0,34
Gambia,,11,0,0.0,1862,0,0,1,0,0,0,57
San Marino,,11,0,0.0,1815,0,0,2,0,0,0,49
United States Virgin Islands,,11,2,18.18,1612,0,0,2,0,0,0,39
Djibouti,,10,0,0.0,1652,0,0,0,0,0,0,34
Papua New Guinea,,10,0,0.0,1829,0,0,3,0,0,0,63
Nauru,,8,0,0.0,1685,0,0,1,0,0,0,45
,,8,0,0.0,1780,0,0,0,0,0,0,32
Congo,,7,0,0.0,1679,0,0,2,0,0,0,51
Bhutan,,7,0,0.0,1438,0,0,0,0,0,0,32
Sierra Leone,,6,1,16.67,1680,0,0,0,0,0,0,41
Netherlands Antilles,,6,0,0.0,1191,0,0,0,0,0,0,28
Eritrea,,6,0,0.0,1820,0,0,0,0,0,0,31
Virgin Islands,,4,0,0.0,1749,0,0,0,0,0,0,54
Central African Republic,,4,0,0.0,1556,0,0,0,0,0,0,38
Gabon,,3,0,0.0,1878,0,0,1,0,0,0,39
Cambodia,,2,0,0.0,2250,0,0,1,0,0,0,59
